"","Unweighted.Count","Proportion","Lower_CI","Upper_CI","SE","Age"
"nhanes01_02w",22,64.7092269220459,35.013392943363,86.188260688372,12.363629002786,"20-39"
"nhanes03_04w",11,41.3587573080477,15.3765546730269,73.2444256038443,12.7957937880004,"20-39"
"nhanes05_06w",19,61.3824675217573,34.2301838614399,82.9188785893783,11.6991297369559,"20-39"
"nhanes07_08w",33,74.2249005067334,61.2590978855185,83.9857090937704,5.06988154461369,"20-39"
"nhanes09_10w",19,66.6778204138208,45.7409847042577,82.6076627583834,8.32877866461207,"20-39"
"nhanes11_12w",17,47.2118024576819,27.8971358028943,67.3988919942439,8.83142843059945,"20-39"
"nhanes13_14w",16,57.0294572778401,35.6472100120671,76.0753612741073,9.28545951845031,"20-39"
"nhanes15_16w",28,54.8008895852943,36.8729579915433,71.563850144598,7.84437971659698,"20-39"
"nhanes17_18w",17,62.6185349625148,35.8300141586386,83.4038304169447,10.8755418311125,"20-39"
"nhanes01_02w1",214,57.3963500622436,49.986808449849,64.4880169204862,3.4253104158596,"40-64"
"nhanes03_04w1",228,58.5166256455484,51.8999451781882,64.8397338766271,3.05201582437377,"40-64"
"nhanes05_06w1",208,61.3983714750975,55.5404103900703,66.9438703999931,2.68602482414503,"40-64"
"nhanes07_08w1",300,51.6972169451928,44.2563477600173,59.0635778230475,3.51826276780402,"40-64"
"nhanes09_10w1",306,55.5212668474072,47.5948028464784,63.1764060185888,3.70487181369207,"40-64"
"nhanes11_12w1",305,56.8184002368756,47.8425875705875,65.3677028929418,4.19570340416279,"40-64"
"nhanes13_14w1",332,59.492497754556,52.1164642781015,66.4634626082762,3.38799253239075,"40-64"
"nhanes15_16w1",370,62.748860880354,53.4199053147666,71.2161604339108,4.21606874911839,"40-64"
"nhanes17_18w1",420,63.4457386151239,58.4044032748867,68.2086586740802,2.30664829539499,"40-64"
"nhanes01_02w2",109,51.717370868405,42.074297088417,61.2342110381193,4.55075013189077,">=65"
"nhanes03_04w2",126,59.011116662451,50.7279749934655,66.8127651344392,3.80507710105532,">=65"
"nhanes05_06w2",102,60.9171487169117,52.5197567636924,68.7140838780595,3.83078836451259,">=65"
"nhanes07_08w2",159,55.2126261832602,46.4621157549654,63.6518029738698,4.09455301137895,">=65"
"nhanes09_10w2",174,65.4772563517354,59.686031549708,70.8429562359155,2.64105939565542,">=65"
"nhanes11_12w2",144,57.3838938981074,44.9272842096087,68.9690329272074,5.8086984568849,">=65"
"nhanes13_14w2",169,65.3134841930666,55.3020212115536,74.1314862075195,4.46378156895694,">=65"
"nhanes15_16w2",192,68.5227492552757,57.2284854016285,77.9820730161246,4.92534713234617,">=65"
"nhanes17_18w2",244,68.0984807873876,60.0637412090047,75.1845785338326,3.56914786305166,">=65"
