"","Unweighted.Count","Proportion","Lower_CI","Upper_CI","SE","Race"
"nhanes01_02w",116,60.1040606811003,49.7395893649659,69.6359631150542,4.66423813862049,"NH White"
"nhanes03_04w",120,60.4535837338838,49.343320217934,70.5799618565266,4.94501271464283,"NH White"
"nhanes05_06w",105,67.0393750614025,58.7334284680388,74.4021534981556,3.62064615545492,"NH White"
"nhanes07_08w",148,56.3083299012941,44.4743049681703,67.4652588356324,5.41630219459125,"NH White"
"nhanes09_10w",149,61.9014734264009,50.3025529062446,72.2848322784655,5.23648080805207,"NH White"
"nhanes11_12w",113,59.8785425494757,46.6257377935014,71.8288905818122,5.95589095523359,"NH White"
"nhanes13_14w",151,65.8254427436724,56.5988455463102,73.9918973285744,4.0907429819792,"NH White"
"nhanes15_16w",134,71.6490798583748,57.8216358545342,82.328817821801,5.75126889544439,"NH White"
"nhanes17_18w",168,66.926949442388,61.3346555330646,72.0786162904644,2.52852020941006,"NH White"
"nhanes01_02w1",49,48.4456558921873,35.6996077103268,61.397176417804,5.69950929463555,"NH Black"
"nhanes03_04w1",55,51.8785217241562,44.4209185228269,59.2533552677712,3.23991418917597,"NH Black"
"nhanes05_06w1",64,44.8735747289578,34.9626086048348,55.2091045576714,4.53705864136295,"NH Black"
"nhanes07_08w1",105,53.1637003645091,41.2260036240112,64.7499256386467,5.37915854813942,"NH Black"
"nhanes09_10w1",74,48.4930870411001,35.7775676387962,61.4067390689283,5.88226429231611,"NH Black"
"nhanes11_12w1",114,49.6609820939712,40.612882096821,58.7313415437295,4.24018201756906,"NH Black"
"nhanes13_14w1",81,49.2252627919582,37.3960877629007,61.1418262982689,5.49928108793107,"NH Black"
"nhanes15_16w1",105,57.0577645326967,47.2945605537887,66.3010712992551,4.31650129855122,"NH Black"
"nhanes17_18w1",101,56.6150649316791,48.5159845866423,64.3755971917766,3.63294997947093,"NH Black"
"nhanes01_02w2",57,47.8398872537284,31.9009263723574,64.2311733322967,7.27032773039186,"Hispanic"
"nhanes03_04w2",57,57.8980028216633,42.6031810597632,71.8136223099465,5.84752304854912,"Hispanic"
"nhanes05_06w2",47,50.230818894058,31.5071680072082,68.8899559712978,8.68341633028529,"Hispanic"
"nhanes07_08w2",73,43.6988202359365,33.7059220147947,54.2308152740689,4.72872401779067,"Hispanic"
"nhanes09_10w2",85,43.2311981231143,32.9671882544303,54.1112086471965,4.87544986573961,"Hispanic"
"nhanes11_12w2",48,38.5016943942592,26.8163741986521,51.6829710078334,5.60663996609579,"Hispanic"
"nhanes13_14w2",68,42.4027723861956,32.1910082106223,53.3073203998927,4.86847375274038,"Hispanic"
"nhanes15_16w2",107,39.0078269834948,33.2021679490609,45.1425930962983,2.79619048982582,"Hispanic"
"nhanes17_18w2",71,46.8006530172259,34.9993232593576,58.9711055111649,5.48563212227244,"Hispanic"
"nhanes01_02w3",14,81.219042315482,45.2068339145608,95.7747867803505,7.94032584331929,"Other"
"nhanes03_04w3",7,35.2443763912861,3.90428677424197,87.9387260013139,13.7645132940247,"Other"
"nhanes05_06w3",11,86.4310796879522,0,NA,9.33886312818244,"Other"
"nhanes07_08w3",7,48.838475485412,6.65438374025158,92.7445389048821,15.0672370800961,"Other"
"nhanes09_10w3",17,52.6868044558189,22.4221628987306,81.0978917496059,12.1100262698609,"Other"
"nhanes11_12w3",47,71.4168823593013,51.7837282253324,85.3216755731135,7.61911209675832,"Other"
"nhanes13_14w3",48,56.0853435798836,38.2599583020149,72.467710672955,7.72378751418804,"Other"
"nhanes15_16w3",52,54.0335127662427,38.6584864687397,68.6772698400692,7.2189649681651,"Other"
"nhanes17_18w3",97,69.4148528944696,56.3245028481691,79.9765647467928,5.6302002213152,"Other"
