"","Unweighted.Count","Proportion","Lower_CI","Upper_CI","SE","Sex"
"nhanes01_02w",126,63.0700729807907,51.7320722272727,73.1282190947016,5.09133909174601,"Male"
"nhanes03_04w",131,64.6657032314182,55.0768531572797,73.2036076742445,4.26773931495298,"Male"
"nhanes05_06w",122,67.6450709913446,60.8274225805611,73.7874907114961,3.05426890568447,"Male"
"nhanes07_08w",180,61.1616072123901,52.1089005369328,69.5045493871351,4.14264940203314,"Male"
"nhanes09_10w",174,60.8510818407696,51.1601995151846,69.7558245851275,4.43479202416354,"Male"
"nhanes11_12w",171,59.4821530742602,46.2459324901505,71.4698320542047,6.10433581616417,"Male"
"nhanes13_14w",189,64.6417135412513,55.88981885585,72.5112059225572,3.93154787499783,"Male"
"nhanes15_16w",232,67.9883591218318,58.9054715896099,75.8855451893229,4.01473168021444,"Male"
"nhanes17_18w",263,67.2032410747198,57.7956628748508,75.4061572128601,4.16727586215447,"Male"
"nhanes01_02w1",110,53.0991796107176,43.5101906693004,62.4646513429154,4.50059322847975,"Female"
"nhanes03_04w1",108,50.673940363536,40.87884001766,60.4175747311849,4.64312704783878,"Female"
"nhanes05_06w1",105,56.0404635727617,46.7360274502455,64.9388789933204,4.31745307226014,"Female"
"nhanes07_08w1",153,47.3934879936789,42.151892471886,52.6931659119219,2.49550592752077,"Female"
"nhanes09_10w1",151,51.5334649561687,43.7603266268179,59.2331113455492,3.67892556286778,"Female"
"nhanes11_12w1",151,53.1871916904248,44.8046040319296,61.3936624797301,3.96792039089572,"Female"
"nhanes13_14w1",159,54.0638635226465,46.96088006304,61.0054820668475,3.31638735060549,"Female"
"nhanes15_16w1",166,54.9587537309723,45.6079693997906,63.9718787759375,4.35677375992147,"Female"
"nhanes17_18w1",174,58.6388476121965,49.6277225057233,67.1064152760489,4.1413389053191,"Female"
