"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","CKD"
"nhanes01_02w",127,4427585.32564,543982.602611803,65.4276424137053,51.573792468658,77.0795463462821,6.10128105756386,"No CKD"
"nhanes03_04w",118,4694297.251785,743281.499904261,62.8920989708251,51.2391684193441,73.2159037223096,5.23392872135438,"No CKD"
"nhanes05_06w",119,5599541.794833,815949.654677666,68.6263667785322,59.0931671115766,76.8097521676959,4.19097010058724,"No CKD"
"nhanes07_08w",185,5533450.168489,557447.059768243,62.3402864418655,53.7830336020663,70.1912736630187,3.90276562893794,"No CKD"
"nhanes09_10w",163,5048342.556587,603936.651114947,54.4032334927357,41.5703298225111,66.676966277668,6.04996590872585,"No CKD"
"nhanes11_12w",175,6504472.695845,831615.765848396,63.17861676093,53.8562153368514,71.6104272901902,4.24874203358006,"No CKD"
"nhanes13_14w",195,7482063.388664,788943.59374511,62.7731546348125,52.8241954418901,71.7461918583162,4.48861854533482,"No CKD"
"nhanes15_16w",245,9962234.41911599,1498566.49360368,66.0263843898547,56.959878772998,74.0530185234172,4.04393966857963,"No CKD"
"nhanes17_18w",246,10017111.8677476,905988.743323378,69.7818225199589,61.0994457641238,77.2479568515881,3.81318042498078,"No CKD"
