"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","Sex"
"nhanes01_02w",109,2783979.733183,245138.346108383,48.5480873762281,38.2206027859549,59.0010684475242,4.94670937658039,"Female"
"nhanes03_04w",120,3646186.572441,686666.808672923,48.5635819710295,38.4043347397416,58.8429329720376,4.86296007042512,"Female"
"nhanes05_06w",110,3284106.664531,317508.056889602,43.2770431847597,34.963658967369,51.9870430799982,4.03189358606971,"Female"
"nhanes07_08w",175,4461262.321232,754404.606194769,51.1292414553017,45.6761545308745,56.555583051663,2.57620884239136,"Female"
"nhanes09_10w",159,3842837.38556,434987.155918511,48.402819896747,40.4193191745262,56.4686834940244,3.81837616080753,"Female"
"nhanes11_12w",149,4501838.849973,663419.288768128,45.9471338822533,38.10251878802,53.99787001995,3.79900010030601,"Female"
"nhanes13_14w",175,5003509.918786,410052.812559731,46.1736362204355,39.1213429732403,53.3824684161624,3.36822895562725,"Female"
"nhanes15_16w",176,4875228.361647,533943.076198501,44.2417807319194,35.3308502253282,53.5395021733951,4.3189292758372,"Female"
"nhanes17_18w",157,4590402.01850772,628945.4513252,40.5733537183124,32.1547123266187,49.5852236012464,4.12940253301898,"Female"
