"","Unweighted_Count","Proportion","Lower_CI","Upper_CI","SE","Ethnicity"
"nhanes01_02w",6,18.780957684518,4.2252132196495,54.7931660854392,7.94032584331929,"Other"
"nhanes03_04w",9,60.9259547435221,11.7101366096635,94.826856406215,13.6351702098263,"Other"
"nhanes05_06w",2,14.7460823831299,0,NA,10.150178758804,"Other"
"nhanes07_08w",11,51.161524514588,7.25546109511786,93.3456162597484,15.0672370800961,"Other"
"nhanes09_10w",15,50.9933512957862,20.1731363108351,81.0764723188161,12.7383117847884,"Other"
"nhanes11_12w",29,27.5641409937545,14.0028057115381,47.0704939864493,7.49233331923037,"Other"
"nhanes13_14w",26,45.1153834567305,27.367153824367,64.1999717046778,8.37616813818927,"Other"
"nhanes15_16w",33,45.9664872337573,31.3227301599308,61.3415135312603,7.2189649681651,"Other"
"nhanes17_18w",42,31.2803885848835,20.0638082139367,45.2202535545271,6.00330192093814,"Other"
