"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE"
"nhanes01_02w",211,6850684.59375,711230.159196662,57.7514073836775,49.9710726116022,65.1652397855356,3.59137730456122
"nhanes03_04w",231,8334210.509647,1128474.41417276,58.8375160970595,51.3502855746151,65.9368270297172,3.44548175741971
"nhanes05_06w",218,8891014.025063,988938.540352228,62.2193620123985,55.4510029843774,68.5427642082346,3.08755515930717
"nhanes07_08w",326,9079392.190395,759740.020433745,54.9681113282333,48.1128474010852,61.6397851286632,3.20993391042042
"nhanes09_10w",313,9117663.15150101,791705.406559358,56.3415568215149,48.1258576689578,64.2233690527704,3.82950502690666
"nhanes11_12w",316,10902223.136596,1277724.16674267,56.6725093189875,48.6479537918942,64.3617242057789,3.75449697758882
"nhanes13_14w",344,12847347.890433,1182735.6339035,59.3820764993211,52.2906846552825,66.1027046349982,3.2600809330167
"nhanes15_16w",392,15269450.529028,1729219.77972775,62.7125155350501,54.3576900125594,70.3715841448334,3.78663183133219
"nhanes17_18w",432,16350839.7801567,1004774.18338665,64.036205272058,59.3129137735478,68.5023583557399,2.16116831730846
